#	number	of	years
31																									
#	number	of	ages	classes
14	
#	number	of	length	intervals
31
#	Abundance	indexes	&	landings						
# (HB= acoustic survey, ST= southern trawl, CT= central trawl, PS= purse seine, Y=landings, cv= coeff. of variation)
#Yr		HB		cv		CPUEst	cv	CPUEps	cv	Yps		cv		Yst		cv		Yct		cv			
1342	4159	5330	10343	15809	15708	21612	14660	6894	2588	1137	188	145	84
6	2093	3011	16355	7646	12778	13800	11772	10967	9631	6470	3078	1836	559
0	137	1981	7183	39832	17389	12314	8490	6908	2864	2024	514	171	194
7	128	483	11897	11407	30470	14897	15476	7435	4415	2220	703	283	180
103	7208	10091	7703	21610	12815	16810	9803	6373	4108	1935	630	428	383
0	1879	7398	8906	14383	24260	12746	14592	7809	3734	2591	1066	425	213
0	525	2406	8395	12289	14155	22695	13866	16364	5721	2219	989	290	87
0	389	4832	11155	20303	14480	14631	16434	10811	4891	1352	406	302	14
24	752	9251	8967	9231	16526	16594	13483	14860	5913	2724	1330	96	249
29	1701	3032	16497	16820	14224	18673	12461	6771	5532	2305	1296	432	226
32	2503	8403	8567	22964	19776	11749	12995	7157	2483	2152	780	285	156
5	3048	13477	16794	14666	19915	12278	7737	7753	1991	1175	793	235	132
0	1851	16110	25750	18527	8800	10848	6411	5688	3204	1452	892	254	213
71	1566	14689	25528	24414	13172	7696	6156	3199	1953	747	492	190	129
0	0	0	0	0	0	0	0	0	0	0	0	0	0								
#	Catch-at-age:	Central-area	trawl
#1	2	3	4	5	6	7	8	9	10	11	12	13	14																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	29	118	623	6747	13238	18013	20640	17129	10751	6660	3987	1502	562
0	0	509	5723	18706	23050	18337	11237	9724	6859	3372	1512	299	672
0	4008	9306	14280	12441	14851	19063	12363	7347	3736	2516	76	4	10																	
15	6537	23171	18129	19243	10866	8244	6725	3830	2333	682	182	12	32																	
0	948	26775	31505	13806	7153	5240	4675	5000	2005	1505	671	354	362																	
0	261	8122	40260	26412	10014	5840	4570	3001	875	278	287	60	20																	
0	22	5541	22292	38828	20013	6451	3392	1571	949	441	278	145	76
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
#	Abundance-at-age	in	acoustic	surveys
#1	2	3	4	5	6	7	8	9	10	11	12	13	14																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
0	10	110	305	1063	839	1926	1897	1564	1237	632	239	101	78
0	269	910	529	1228	1733	1546	1255	994	531	450	163	123	269
17	242	556	1429	1314	1515	1856	1123	999	545	251	64	42	46
0	0	36	375	1149	1767	1587	2219	1480	937	333	58	59	1
0	30	375	1604	1145	1063	1283	1135	1296	944	707	283	61	76
0	2	269	563	1036	765	1004	1482	1350	1148	932	828	347	274
0	0	0	0	0	0	0	0	0	0	0	0	0	0												
0	138	588	1148	1775	2614	1314	1072	816	348	127	40	14	6
26	1547	4915	2049	767	253	244	68	64	27	18	20	4	0
129	756	2680	2221	1407	733	343	685	418	314	156	89	64	6
140	817	2880	2579	1827	788	369	322	172	107	0	0	0	0
#	Mean	weigth-at-age	trawling in southern area (ST) Wmed												
